fecha,casosConfirmados
01/01/2022,29985
02/01/2022,29995
03/01/2022,30009
04/01/2022,30026
05/01/2022,30093
06/01/2022,30132
07/01/2022,30160
08/01/2022,30227
09/01/2022,30258
10/01/2022,30334
11/01/2022,30443
12/01/2022,30643
13/01/2022,30787
14/01/2022,31055
15/01/2022,31267
16/01/2022,31371
17/01/2022,31487
18/01/2022,31767
19/01/2022,31980
20/01/2022,32156
21/01/2022,32417
22/01/2022,32695
23/01/2022,32832
24/01/2022,32953
25/01/2022,33155
26/01/2022,33358
27/01/2022,33651
28/01/2022,33887
29/01/2022,34157
30/01/2022,34229
31/01/2022,34330
01/02/2022,34605
02/02/2022,34929
03/02/2022,35292
04/02/2022,35703
05/02/2022,35977
06/02/2022,36100
07/02/2022,36307
08/02/2022,36700
09/02/2022,37001
10/02/2022,37505
11/02/2022,37903
12/02/2022,38076
13/02/2022,38130
14/02/2022,38283
15/02/2022,38478
16/02/2022,38906
17/02/2022,39045
18/02/2022,39310
19/02/2022,39413
20/02/2022,39454
21/02/2022,39471
22/02/2022,39637
23/02/2022,39724
24/02/2022,39819
25/02/2022,39910
26/02/2022,39963
27/02/2022,39985
28/02/2022,39996
01/03/2022,40019
02/03/2022,40029
03/03/2022,40070
04/03/2022,40101
05/03/2022,40152
06/03/2022,40165
07/03/2022,40232
08/03/2022,40377
09/03/2022,40510
10/03/2022,40579
11/03/2022,40646
12/03/2022,40702
13/03/2022,40704
14/03/2022,40726
15/03/2022,40907
16/03/2022,41033
17/03/2022,41059
18/03/2022,41098
19/03/2022,41141
20/03/2022,41150
21/03/2022,41157
22/03/2022,41175
23/03/2022,41206
24/03/2022,41245
25/03/2022,41494
26/03/2022,41623
27/03/2022,41634
28/03/2022,41636
