fecha,casosConfirmados
01/01/2022,7108
02/01/2022,7131
03/01/2022,7175
04/01/2022,7218
05/01/2022,7291
06/01/2022,7321
07/01/2022,7393
08/01/2022,7444
09/01/2022,7571
10/01/2022,7638
11/01/2022,7777
12/01/2022,7912
13/01/2022,8116
14/01/2022,8236
15/01/2022,8454
16/01/2022,8755
17/01/2022,8807
18/01/2022,9051
19/01/2022,9228
20/01/2022,9372
21/01/2022,9547
22/01/2022,9756
23/01/2022,10003
24/01/2022,10080
25/01/2022,10347
26/01/2022,10667
27/01/2022,10929
28/01/2022,11181
29/01/2022,11386
30/01/2022,11504
31/01/2022,11577
01/02/2022,11740
02/02/2022,11980
03/02/2022,12107
04/02/2022,12316
05/02/2022,12440
06/02/2022,12560
07/02/2022,12592
08/02/2022,12658
09/02/2022,12783
10/02/2022,12997
11/02/2022,13074
12/02/2022,13120
13/02/2022,13211
14/02/2022,13225
15/02/2022,13283
16/02/2022,13353
17/02/2022,13407
18/02/2022,13465
19/02/2022,13503
20/02/2022,13519
21/02/2022,13549
22/02/2022,13580
23/02/2022,13644
24/02/2022,13701
25/02/2022,13744
26/02/2022,13778
27/02/2022,13784
28/02/2022,13791
01/03/2022,13792
02/03/2022,13829
03/03/2022,13849
04/03/2022,13872
05/03/2022,13903
06/03/2022,13909
07/03/2022,13915
08/03/2022,13968
09/03/2022,14067
10/03/2022,14113
11/03/2022,14149
12/03/2022,14166
13/03/2022,14172
14/03/2022,14180
15/03/2022,14206
16/03/2022,14231
17/03/2022,14244
18/03/2022,14266
19/03/2022,14272
20/03/2022,14275
21/03/2022,14276
22/03/2022,14286
23/03/2022,14294
24/03/2022,14312
25/03/2022,14323
26/03/2022,14332
27/03/2022,14334
28/03/2022,14335
