fecha,día,mes,año,casosConfirmados,casosDiarios,fallecimientos,nuevosFallecimientos,provincia,región
13/3/2020,13,3,2020,0,0,0,0,Azuay,Sierra
14/3/2020,14,3,2020,1,1,0,0,Azuay,Sierra
15/3/2020,15,3,2020,1,0,0,0,Azuay,Sierra
16/3/2020,16,3,2020,1,0,0,0,Azuay,Sierra
17/3/2020,17,3,2020,5,4,0,0,Azuay,Sierra
18/3/2020,18,3,2020,5,0,0,0,Azuay,Sierra
19/3/2020,19,3,2020,14,9,0,0,Azuay,Sierra
20/3/2020,20,3,2020,18,4,0,0,Azuay,Sierra
21/3/2020,21,3,2020,19,1,0,0,Azuay,Sierra
22/3/2020,22,3,2020,19,0,0,0,Azuay,Sierra
23/3/2020,23,3,2020,23,4,0,0,Azuay,Sierra
24/3/2020,24,3,2020,28,5,0,0,Azuay,Sierra
25/3/2020,25,3,2020,31,3,0,0,Azuay,Sierra
26/3/2020,26,3,2020,37,6,0,0,Azuay,Sierra
27/3/2020,27,3,2020,42,5,0,0,Azuay,Sierra
28/3/2020,28,3,2020,42,0,0,0,Azuay,Sierra
29/3/2020,29,3,2020,53,11,1,1,Azuay,Sierra
30/3/2020,30,3,2020,57,4,1,0,Azuay,Sierra
31/3/2020,31,3,2020,78,21,2,1,Azuay,Sierra
1/4/2020,1,4,2020,94,16,3,1,Azuay,Sierra
2/4/2020,2,4,2020,99,5,4,1,Azuay,Sierra
3/4/2020,3,4,2020,99,0,5,1,Azuay,Sierra
4/4/2020,4,4,2020,99,0,5,0,Azuay,Sierra
5/4/2020,5,4,2020,99,0,5,0,Azuay,Sierra
6/4/2020,6,4,2020,100,1,5,0,Azuay,Sierra
7/4/2020,7,4,2020,100,0,6,1,Azuay,Sierra
8/4/2020,8,4,2020,107,7,6,0,Azuay,Sierra
9/4/2020,9,4,2020,116,9,6,0,Azuay,Sierra
10/4/2020,10,4,2020,151,35,6,0,Azuay,Sierra
11/4/2020,11,4,2020,154,3,6,0,Azuay,Sierra
12/4/2020,12,4,2020,178,24,7,1,Azuay,Sierra
13/4/2020,13,4,2020,182,4,7,0,Azuay,Sierra
