provincia,región,población,superficieKm2,densidadPoblacion
Azuay,Sierra,881394,8309.58,106.07
Bolivar,Sierra,209933,3945.38,53.21
Cañar,Sierra,281396,3146.08,89.44
Carchi,Sierra,186869,3780.45,49.43
Chimborazo,Sierra,524004,6499.72,80.62
Cotopaxi,Sierra,488716,6108.23,80.01
El Oro,Costa,715751,5766.68,124.12
Esmeraldas,Costa,643654,16132.23,39.9
Galápagos,Insular,33042,8010,4.13
Guayas,Costa,4387434,15430.4,284.34
Imbabura,Sierra,476257,4587.51,103.82
Loja,Sierra,521154,11062.73,47.11
Los Rios,Costa,921763,7205.27,127.93
Manabí,Costa,1562079,18939.6,82.48
Morona Santiago,Amazonía,196535,24059.4,8.17
Napo,Amazonía,133705,12542.5,10.66
Orellana,Amazonía,161338,21692.1,7.44
Pastaza,Amazonía,114202,29641.37,3.85
Pichincha,Sierra,3228233,9535.91,338.53
Santa Elena,Costa,401178,3690.17,108.72
Santo Domingo,Costa,458580,3446.65,133.05
Sucumbios,Amazonía,230503,18084.42,12.75
Tungurahua,Sierra,590600,3386.25,174.41
Zamora Chinchipe,Amazonía,120416,10548.28,11.42
