fecha,casosConfirmados
1/1/2022,19084
2/1/2022,19101
3/1/2022,19121
4/1/2022,19140
5/1/2022,19194
6/1/2022,19246
7/1/2022,19276
8/1/2022,19328
9/1/2022,19465
10/1/2022,19591
11/1/2022,19773
12/1/2022,19985
13/1/2022,20113
14/1/2022,20354
15/1/2022,20695
16/1/2022,20880
17/1/2022,21087
18/1/2022,21384
19/1/2022,21760
20/1/2022,22083
21/1/2022,22430
22/1/2022,22835
23/1/2022,23190
24/1/2022,23385
25/1/2022,23960
26/1/2022,24518
27/1/2022,25194
28/1/2022,25783
29/1/2022,26212
30/1/2022,26374
31/1/2022,26436
1/2/2022,26798
2/2/2022,27251
3/2/2022,27630
4/2/2022,28145
5/2/2022,28463
6/2/2022,28691
7/2/2022,28737
8/2/2022,29301
9/2/2022,29575
10/2/2022,30166
11/2/2022,30459
12/2/2022,30719
13/2/2022,30770
14/2/2022,30815
15/2/2022,30969
16/2/2022,31226
17/2/2022,31420
18/2/2022,31585
19/2/2022,31759
20/2/2022,31819
21/2/2022,31829
22/2/2022,31938
23/2/2022,32078
24/2/2022,32177
25/2/2022,32288
26/2/2022,32357
27/2/2022,32451
28/2/2022,32464
1/3/2022,32468
2/3/2022,32476
3/3/2022,32579
4/3/2022,32624
5/3/2022,32717
6/3/2022,32742
7/3/2022,32748
8/3/2022,32810
9/3/2022,32907
10/3/2022,32963
11/3/2022,33032
12/3/2022,33067
13/3/2022,33082
14/3/2022,33085
15/3/2022,33127
16/3/2022,33150
17/3/2022,33162
18/3/2022,33170
19/3/2022,33182
20/3/2022,33188
21/3/2022,33190
22/3/2022,33193
23/3/2022,33200
24/3/2022,33218
25/3/2022,33237
26/3/2022,33255
27/3/2022,33261
28/3/2022,33266
