fecha,casosConfirmados
1/1/2022,203054
2/1/2022,203331
3/1/2022,203592
4/1/2022,204090
5/1/2022,204423
6/1/2022,204903
7/1/2022,205163
8/1/2022,205645
9/1/2022,206286
10/1/2022,206781
11/1/2022,208982
12/1/2022,211514
13/1/2022,213563
14/1/2022,215529
15/1/2022,218784
16/1/2022,220441
17/1/2022,221417
18/1/2022,223708
19/1/2022,226488
20/1/2022,228975
21/1/2022,231028
22/1/2022,234031
23/1/2022,235362
24/1/2022,236157
25/1/2022,237922
26/1/2022,239572
27/1/2022,242696
28/1/2022,247492
29/1/2022,250859
30/1/2022,252251
31/1/2022,253393
1/2/2022,256460
2/2/2022,258739
3/2/2022,262008
4/2/2022,265909
5/2/2022,268061
6/2/2022,268912
7/2/2022,270142
8/2/2022,272775
9/2/2022,274456
10/2/2022,278375
11/2/2022,280600
12/2/2022,282232
13/2/2022,283165
14/2/2022,283634
15/2/2022,285873
16/2/2022,288527
17/2/2022,290307
18/2/2022,291808
19/2/2022,293350
20/2/2022,293833
21/2/2022,294173
22/2/2022,295606
23/2/2022,296681
24/2/2022,298227
25/2/2022,299353
26/2/2022,300540
27/2/2022,300785
28/2/2022,301039
1/3/2022,301418
2/3/2022,301797
3/3/2022,303495
4/3/2022,304320
5/3/2022,306011
6/3/2022,306740
7/3/2022,306990
8/3/2022,308257
9/3/2022,309391
10/3/2022,310353
11/3/2022,311147
12/3/2022,311535
13/3/2022,311665
14/3/2022,311894
15/3/2022,312470
16/3/2022,313168
17/3/2022,313690
18/3/2022,313922
19/3/2022,314128
20/3/2022,314261
21/3/2022,314458
22/3/2022,314882
23/3/2022,315154
24/3/2022,315949
25/3/2022,316410
26/3/2022,317443
27/3/2022,317590
28/3/2022,317822
